No,EN,JA
1,She cooked breakfast.,彼女は朝食を作りました。
2,They talked together.,彼らは一緒に話しました。
3,I washed my hands.,私は手を洗いました。
4,He studied English today.,彼は今日英語を勉強しました。
5,She listened to the music.,彼女は音楽を聴きました。
6,I played the piano yesterday.,私は昨日ピアノを弾きました。
7,He walked to the bakery.,彼はパン屋まで歩きました。
8,We cleaned the patio.,私たちは中庭を掃除しました。
9,They called Ms. Green.,彼らはグリーンさんに電話をしました。
10,The girls danced to the music.,女の子たちは音楽に合わせて踊りました。
11,She enjoyed the dinner.,彼女は夕食を楽しみました。
12,They stayed at the hotel.,彼らはホテルに泊まりました。
13,I painted the wall.,私は壁を塗りました。
14,He asked a question.,彼は質問をしました。
15,The meeting started at nine.,会議は9時に始まりました。
16,They didn’t help me.,彼らは私を助けませんでした。
17,She didn’t look at me.,彼女は私を見ませんでした。
18,He didn’t visit his uncle.,彼は彼の叔父を訪ねませんでした。
19,I didn’t answer the phone.,私は電話に出ませんでした。
20,We didn’t like the color.,私たちはこの色が好きではありませんでした。
21,Did you arrive late?,あなたは遅くに到着したのですか。
22,Did you check my website?,あなたは私のウェブサイトを確認しましたか。
23,Did they laugh at the joke?,彼らはその冗談に笑いましたか。
24,Did she hand you the file?,彼女はあなたにそのファイルを手渡しましたか。
25,Did it rain last night?,昨夜雨が降りましたか。
