Unit,No,EN,JA
2,1,I bought a pen and two pencils.,私はペンを1本と鉛筆2本買いました。
2,2,I only have a little money left.,私はお金がわずかしか残っていません。
2,3,I’ll be back in fi ve minutes.,私は5分で戻ります。
2,4,She bought a loaf of bread at the bakery.,彼女はパン屋でパンを1斤買いました。
2,5,There are many people in front of the shop.,店の前にはたくさんの人がいます。
2,6,I like peaches and bananas.,私は桃とバナナが好きです。
2,7,He gave me some advice.,彼は私にいくつかの助言をくれました。
2,8,I’ll wash the dishes.,私は皿を洗います。
2,9,Ladies’ shoes are on the third floor.,女性用の靴は3階です。
2,10,This is Mary’s mother.,こちらはメアリーの母です。
2,11,Horses run fast.,馬は速く走ります。
2,12,Put in a pinch of salt.,塩をひとつまみ入れてください。
2,13,Please leave the chair where it is.,椅子はそのままにしておいてください。
2,14,He put some water in the glass.,彼はグラスに水を少し入れました。
2,15,She teaches us English.,彼女は私たちに英語を教えています。
2,16,He’s not wearing glasses.,彼は眼鏡をかけていません。
2,17,She doesn’t like tomatoes.,彼女はトマトが好きではありません。
2,18,Those boxes aren’t mine.,あの箱は私のものではありません。
2,19,The children didn’t come on time.,子供たちは時間どおりに来ませんでした。
2,20,Mr. Takahashi isn’t my boss.,高橋さんは私の上司ではありません。
2,21,How is your family?,ご家族はお元気ですか。
2,22,Where’s my toothbrush?,私の歯ブラシはどこですか。
2,23,Do you have a lot of homework today?,今日は宿題がたくさんありますか。
2,24,Could you pass me the scissors?,ハサミを私に取ってもらえますか。
2,25,Where can I leave my luggage?,荷物はどこに置いておくことができますか。
